day,area
15.538397328881402, 30.211267605633836
20.735573938152513, 30.009754828602
25.223218214644348, 30.05524935899352
31.60039692334324, 30.282722010951048
37.6232879260033, 30.464700132517052
44.23665843872804, 30.828656375649103
52.50337157963402, 31.23810714917265
61.36056423060471, 31.784041513870733
72.10729131378243, 32.693932121700854
80.37400445468843, 33.42184460796494
90.05786841974968, 34.19525162462054
99.85982828682388, 35.28712035401668
112.85037750824755, 36.69745079615335
123.71520049343825, 37.83481405594101
130.8009546142148, 38.69921013337961
137.76861283297842, 39.3816280892522
142.72864071752196, 40.0640460451248
146.50770958193613, 41.01943118334641
150.2867784463503, 42.3842670950916
156.07347764498445, 43.021190520572674
161.5058891375798, 43.74910300683676
165.99353341407163, 43.29415770292171
169.6545063764728, 42.33877256470008
173.55167114289992, 42.065805382351044
179.45646624354703, 42.65723427744062
184.1803023240647, 43.3396522333132
187.84127528646593, 43.47613582448773
193.864166289126, 43.385146763704725
203.1937425481484, 43.385146763704725
215.47571635749443, 43.29415770292171
222.56147047827096, 43.021190520572674
231.18247132521577, 43.021190520572674
238.1501295439794, 43.06668505096418
246.18065088085945, 43.84009206761978
253.97498041371364, 44.15855378036031
261.0607345344902, 44.65899361466688
265.31218700695615, 44.613499084275375
277.9484485223409, 44.477015493100865
270.1541189894868, 44.886466266624524
282.6722846028586, 43.93108112840278
289.7580387236352, 43.703608476445254
295.4266420202564, 43.203168642138706
301.8038207289553, 43.06668505096418
308.41719124168014, 42.475256155874604
317.0381920886249, 42.02031085195955
324.71442571946613, 41.06492571373792
332.1544675462815, 39.97305698434178
339.47641347108396, 39.3816280892522
347.27074300393815, 38.42624295103059
353.52982581062406, 38.10778123829003
361.44225124549115, 37.65283593437498
370.5356357004878, 37.288879691242926
379.5109242534714, 36.56096720497885
386.7147742762609, 36.49272540939167
392.1471857688562, 36.2880000226298
397.4615013594386, 36.242505492238294
