day,carbon
11.558333333333323, 0.35107655502392343
18.85833333333332, 0.35574162679425836
26.15833333333333, 0.3571770334928229
36.499999999999986, 0.3575358851674641
49.883333333333326, 0.3553827751196172
61.44166666666666, 0.34964114832535886
73, 0.34497607655502394
80.29999999999998, 0.33959330143540667
85.16666666666666, 0.33492822966507174
91.85833333333332, 0.32918660287081336
96.725, 0.32129186602870813
104.02499999999998, 0.3130382775119617
108.28333333333333, 0.3026315789473684
115.58333333333331, 0.2925837320574163
120.44999999999999, 0.2832535885167464
125.92499999999998, 0.2742822966507177
133.83333333333331, 0.2595693779904306
141.1333333333333, 0.24557416267942586
149.64999999999998, 0.22619617224880384
155.7333333333333, 0.2132775119617225
161.20833333333331, 0.20394736842105265
165.46666666666664, 0.20143540669856463
169.72499999999997, 0.20215311004784692
178.24166666666662, 0.20466507177033497
184.325, 0.20825358851674644
189.19166666666666, 0.2161483253588517
194.05833333333334, 0.22763157894736843
199.5333333333333, 0.2340909090909091
216.56666666666666, 0.26315789473684215
234.20833333333331, 0.2915071770334928
243.33333333333331, 0.30191387559808613
257.9333333333333, 0.3108851674641148
270.09999999999997, 0.31842105263157894
285.91666666666663, 0.3385167464114832
300.51666666666665, 0.3514354066985646
316.94166666666666, 0.359688995215311
333.97499999999997, 0.3672248803827751
351.0083333333333, 0.3715311004784689
366.825, 0.37188995215311005
383.24999999999994, 0.3708133971291866
397.2416666666666, 0.3683014354066986
