day,temp
-11.676564156945929, 6.943980929678187
-9.520890774125142, 6.71513706793802
-7.673170731707323, 6.629320619785457
-5.209544008483576, 6.31466030989273
-3.3618239660657494, 6.886769964243147
-2.2839872746553596, 6.486293206197853
2.181336161187687, 6.114421930870083
3.105196182396604, 5.542312276519667
4.798939554612936, 4.998808104886766
8.49437963944856, 5.39928486293206
13.113679745493094, 3.9976162097735397
16.039236479321296, 5.141835518474373
22.352279957582176, 5.5995232419547065
25.27783669141038, 5.885578069129917
27.125556733828198, 6.228843861740167
29.589183457051938, 5.914183551847433
29.897136797454927, 6.08581644815256
30.97497348886531, 5.37067938021454
34.05450689289501, 4.769964243146603
37.44199363732766, 4.598331346841476
38.0579003181336, 4.455303933253873
39.28971367974548, 4.8843861740166865
41.1374337221633, 5.2562574493444565
42.36924708377517, 5.456495828367103
43.139130434782594, 5.71394517282479
43.75503711558853, 5.828367103694873
45.29480381760337, 4.998808104886766
47.45047720042415, 4.312276519666266
49.76012725344642, 3.825983313468413
50.22205726405088, 3.768772348033373
50.683987274655344, 3.9976162097735397
50.991940615058304, 4.598331346841476
51.60784729586424, 4.712753277711563
56.0731707317073, 4.655542312276516
55.14931071049839, 4.569725864123956
59.922587486744426, 4.39809296781883
60.84644750795332, 4.68414779499404
63.0021208907741, 4.0834326579260996
64.54188759278895, 4.112038140643623
66.2356309650053, 3.969010727056016
67.46744432661717, 4.34088200238379
69.16118769883349, 3.768772348033373
71.0089077412513, 3.7973778307508894
74.24241781548247, 3.625744934445766
75.78218451749734, 4.426698450536353
79.16967126192998, 4.112038140643623
81.47932131495224, 4.655542312276516
84.71283138918344, 5.284862932061976
86.56055143160123, 5.5995232419547065
89.48610816542947, 5.485101311084623
91.94973488865321, 5.113230035756853
92.8735949098621, 5.284862932061976
95.95312831389182, 5.284862932061976
98.87868504772001, 5.08462455303933
101.18833510074228, 5.141835518474373
104.42184517497344, 5.456495828367103
107.50137857900316, 5.5995232419547065
108.733191940615, 5.68533969010727
109.81102863202543, 6.143027413587603
112.58260869565214, 6.143027413587603
114.27635206786846, 5.828367103694873
115.8161187698833, 5.34207389749702
117.9717921527041, 4.74135876042908
118.74167550371152, 4.512514898688913
121.51325556733826, 5.199046483909417
123.66892895015906, 5.656734207389746
125.0547189819724, 6.200238379022643
127.21039236479317, 6.572109654350417
129.52004241781546, 6.829558998808103
129.98197242841988, 6.972586412395707
132.75355249204662, 7.373063170441
134.13934252386, 7.516090584028603
135.52513255567334, 7.74493444576877
136.44899257688226, 7.973778307508937


